_RAJ2000,_DEJ2000,Star,RAJ2000,DEJ2000,o_Vmag,Vmag,e_Vmag,B-V,e_B-V,U-B,e_U-B,V-R,e_V-R,R-I,e_R-I,V-I,e_V-I,Nd,Omag,Emag,Jmag,Fmag,Nmag
111.0625,-0.5486,RU 149,07 24 15,-00 32 55,46,13.866000175476074,0.002199999988079071,-0.1289999932050705,0.0027000000700354576,-0.7789999842643738,0.003100000089034438,-0.03999999910593033,0.002199999988079071,-0.06800000369548798,0.006200000178068876,-0.1080000028014183,0.006899999920278788,30,13.899999618530273,14.270000457763672,14.329999923706055,14.270000457763672,14.010000228881836
111.0667,-0.5439,RU 149D,07 24 16,-00 32 38,18,11.479999542236328,0.0019000000320374966,-0.03700000047683716,0.002099999925121665,-0.28700000047683716,0.00279999990016222,0.020999999716877937,0.0012000000569969416,0.00800000037997961,0.0019000000320374966,0.028999999165534973,0.002400000113993883,11,11.210000038146973,11.619999885559082,11.430000305175781,11.649999618530273,11.800000190734863
111.075,-0.5381,RU 149C,07 24 18,-00 32 17,18,14.425000190734863,0.005200000014156103,0.19499999284744263,0.00419999985024333,0.14100000262260437,0.011099999770522118,0.09300000220537186,0.006099999882280827,0.12700000405311584,0.00989999994635582,0.22200000286102295,0.010599999688565731,11,14.75,14.670000076293945,15.029999732971191,14.670000076293945,14.0600004196167
111.075,-0.5494,RU 149B,07 24 18,-00 32 58,15,12.642000198364258,0.002099999925121665,0.6620000004768372,0.0034000000450760126,0.1509999930858612,0.004900000058114529,0.37400001287460327,0.0017999999690800905,0.3540000021457672,0.0026000000070780516,0.7279999852180481,0.00279999990016222,10,13.699999809265137,12.930000305175781,13.899999618530273,12.930000305175781,12.279999732971191
111.0792,-0.5189,RU 149E,07 24 19,-00 31 08,12,13.718000411987305,0.006399999838322401,0.5220000147819519,0.004900000058114529,-0.007000000216066837,0.006899999920278788,0.32100000977516174,0.0035000001080334187,0.3140000104904175,0.006599999964237213,0.6370000243186951,0.008700000122189522,8,14.520000457763672,13.890000343322754,14.84000015258789,13.890000343322754,13.359999656677246
112.4625,-2.0747,RU 152F,07 29 51,-02 04 29,15,14.564000129699707,0.005200000014156103,0.6349999904632568,0.00570000009611249,0.0689999982714653,0.009600000455975533,0.38199999928474426,0.0066999997943639755,0.3149999976158142,0.01759999990463257,0.6890000104904175,0.022199999541044235,8,15.289999961853027,14.640000343322754,14.880000114440918,14.640000343322754,13.859999656677246
112.4625,-2.0858,RU 152E,07 29 51,-02 05 09,12,12.362000465393066,0.00139999995008111,0.041999999433755875,0.0020000000949949026,-0.0860000029206276,0.0020000000949949026,0.029999999329447746,0.00139999995008111,0.03400000184774399,0.002300000051036477,0.06499999761581421,0.002899999963119626,8,12.6899995803833,13.0,11.630000114440918,13.0,12.609999656677246
112.4792,-2.105,RU 152,07 29 55,-02 06 18,40,13.013999938964844,0.0019000000320374966,-0.1899999976158142,0.002400000113993883,-1.0729999542236328,0.0031999999191612005,-0.05700000002980232,0.002400000113993883,-0.08699999749660492,0.003000000026077032,-0.14499999582767487,0.003800000064074993,25,12.739999771118164,13.359999656677246,11.630000114440918,13.359999656677246,13.789999961853027
112.4833,-2.0942,RU 152B,07 29 56,-02 05 39,23,15.019000053405762,0.004600000102072954,0.5,0.008799999952316284,0.02199999988079071,0.01810000091791153,0.28999999165534973,0.005400000140070915,0.3089999854564667,0.017500000074505806,0.6000000238418579,0.0210999995470047,10,15.399999618530273,14.90999984741211,14.5600004196167,14.90999984741211,14.770000457763672
112.4875,-2.1006,RU 152A,07 29 57,-02 06 02,14,14.340999603271484,0.006099999882280827,0.5429999828338623,0.00860000029206276,-0.08500000089406967,0.01679999940097332,0.32499998807907104,0.005100000184029341,0.32899999618530273,0.009399999864399433,0.6539999842643738,0.013100000098347664,8,14.75,14.199999809265137,14.84000015258789,14.199999809265137,14.029999732971191
112.4958,-2.0883,RU 152C,07 29 59,-02 05 18,13,12.222000122070312,0.0024999999441206455,0.5730000138282776,0.003100000089034438,-0.013000000268220901,0.0032999999821186066,0.34200000762939453,0.002199999988079071,0.3400000035762787,0.0019000000320374966,0.6830000281333923,0.003100000089034438,9,12.9399995803833,12.470000267028809,12.899999618530273,12.470000267028809,12.390000343322754
112.5125,-2.0711,RU 152D,07 30 03,-02 04 16,14,11.076000213623047,0.0013000000035390258,0.875,0.0015999999595806003,0.4909999966621399,0.002400000113993883,0.4729999899864197,0.0010999999940395355,0.4490000009536743,0.0019000000320374966,0.9210000038146973,0.0019000000320374966,10,11.899999618530273,10.970000267028809,11.609999656677246,10.9399995803833,10.65999984741211
